;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-12-22T00:00:00;25.1;69;1010.5;200;7;CORDOBA AERO
1;2021-12-22T01:00:00;23.0;80;1010.2;250;7;CORDOBA AERO
2;2021-12-22T02:00:00;22.4;84;1009.5;230;7;CORDOBA AERO
3;2021-12-22T03:00:00;22.5;84;1009.7;230;9;CORDOBA AERO
4;2021-12-22T04:00:00;18.9;68;1012.8;270;15;CORDOBA AERO
5;2021-12-22T05:00:00;17.7;88;1012.5;250;13;CORDOBA AERO
6;2021-12-22T06:00:00;17.0;86;1013.1;270;13;CORDOBA AERO
7;2021-12-22T07:00:00;17.1;86;1012.2;320;15;CORDOBA AERO
8;2021-12-22T08:00:00;17.9;85;1013.6;290;11;CORDOBA AERO
9;2021-12-22T09:00:00;20.6;77;1013.9;270;6;CORDOBA AERO
10;2021-12-22T10:00:00;22.3;67;1014.3;270;6;CORDOBA AERO
11;2021-12-22T11:00:00;25.3;55;1014.4;230;9;CORDOBA AERO
12;2021-12-22T12:00:00;26.3;55;1013.8;180;7;CORDOBA AERO
13;2021-12-22T13:00:00;27.3;57;1014.0;140;7;CORDOBA AERO
14;2021-12-22T14:00:00;28.5;56;1013.5;200;9;CORDOBA AERO
15;2021-12-22T15:00:00;30.2;45;1012.7;140;13;CORDOBA AERO
16;2021-12-22T16:00:00;30.4;38;1012.5;110;15;CORDOBA AERO
17;2021-12-22T17:00:00;30.2;37;1012.3;140;20;CORDOBA AERO
18;2021-12-22T18:00:00;29.5;37;1012.6;160;13;CORDOBA AERO
19;2021-12-22T19:00:00;28.1;44;1012.9;160;15;CORDOBA AERO
20;2021-12-22T20:00:00;27.0;44;1013.6;160;13;CORDOBA AERO
21;2021-12-22T21:00:00;26.8;45;1014.3;160;11;CORDOBA AERO
22;2021-12-22T22:00:00;24.6;59;1015.2;230;9;CORDOBA AERO
23;2021-12-22T23:00:00;23.5;62;1015.5;230;11;CORDOBA AERO
24;2021-12-22T00:00:00;25.7;70;1009.4;180;6;CORDOBA OBSERVATORIO
25;2021-12-22T01:00:00;25.1;73;1009.4;180;6;CORDOBA OBSERVATORIO
26;2021-12-22T02:00:00;24.4;78;1009.4;180;6;CORDOBA OBSERVATORIO
27;2021-12-22T03:00:00;23.9;82;1009.8;180;9;CORDOBA OBSERVATORIO
28;2021-12-22T04:00:00;23.2;86;1010.9;230;9;CORDOBA OBSERVATORIO
29;2021-12-22T05:00:00;20.5;83;1012.0;230;9;CORDOBA OBSERVATORIO
30;2021-12-22T06:00:00;18.2;85;1013.1;270;9;CORDOBA OBSERVATORIO
31;2021-12-22T07:00:00;17.7;84;1013.1;270;7;CORDOBA OBSERVATORIO
32;2021-12-22T08:00:00;19.2;74;1011.6;250;6;CORDOBA OBSERVATORIO
33;2021-12-22T09:00:00;22.0;68;1011.5;270;6;CORDOBA OBSERVATORIO
34;2021-12-22T10:00:00;25.4;54;1013.5;230;7;CORDOBA OBSERVATORIO
35;2021-12-22T11:00:00;27.2;53;1013.1;180;9;CORDOBA OBSERVATORIO
36;2021-12-22T12:00:00;28.6;57;1013.0;180;9;CORDOBA OBSERVATORIO
37;2021-12-22T13:00:00;30.2;52;1012.9;110;9;CORDOBA OBSERVATORIO
38;2021-12-22T14:00:00;30.6;48;1013.1;140;11;CORDOBA OBSERVATORIO
39;2021-12-22T15:00:00;31.2;43;1011.1;140;11;CORDOBA OBSERVATORIO
40;2021-12-22T16:00:00;31.6;42;1010.7;140;19;CORDOBA OBSERVATORIO
41;2021-12-22T17:00:00;30.8;36;1011.7;180;20;CORDOBA OBSERVATORIO
42;2021-12-22T18:00:00;31.2;33;1011.7;140;17;CORDOBA OBSERVATORIO
43;2021-12-22T19:00:00;30.8;38;1011.7;180;9;CORDOBA OBSERVATORIO
44;2021-12-22T20:00:00;29.2;36;1011.7;140;13;CORDOBA OBSERVATORIO
45;2021-12-22T21:00:00;28.0;44;1011.8;180;7;CORDOBA OBSERVATORIO
46;2021-12-22T22:00:00;27.0;46;1011.8;180;15;CORDOBA OBSERVATORIO
47;2021-12-22T23:00:00;26.1;47;1012.1;230;6;CORDOBA OBSERVATORIO
