ID;FECHA/HORA;Dia;TOTAL KW;TEMPERATURA;Feriado;Publico;;;;;;;;;;;;;
0;01/07/2021 0:00;4;1.721.748.533;8,70;0;0;;;;;;;;;;;;;
1;01/07/2021 1:00;4;1.731.462.994;8,40;0;0;;;;;;;;;;;;;
2;01/07/2021 2:00;4;1.676.358.588;8,20;0;0;;;;;;;;;;;;;
3;01/07/2021 3:00;4;1.653.972.981;7,70;0;0;;;;;;;;;;;;;
4;01/07/2021 4:00;4;1.653.886.127;7,20;0;0;;;;;;;;;;;;;
5;01/07/2021 5:00;4;1.697.885.847;6,70;0;0;;;;;;;;;;;;;
6;01/07/2021 6:00;4;1.685.989.459;6,20;0;0;;;;;;;;;;;;;
7;01/07/2021 7:00;4;241.460.114;4,00;0;0;;;;;;;;;;;;;
8;01/07/2021 8:00;4;267.858.109;2,80;0;0;;;;;;;;;;;;;
9;01/07/2021 9:00;4;4.222.517.509;2,60;0;0;;;;;;;;;;;;;
10;01/07/2021 10:00;4;5.659.812.813;6,80;0;245;;;;;;;;;;;;;
11;01/07/2021 11:00;4;6.174.330.997;10,20;0;326;;;;;;;;;;;;;
12;01/07/2021 12:00;4;6.464.884.644;14,00;0;388;;;;;;;;;;;;;
13;01/07/2021 13:00;4;6.457.387.428;18,60;0;418;;;;;;;;;;;;;
14;01/07/2021 14:00;4;6.268.949.528;20,00;0;428;;;;;;;;;;;;;
15;01/07/2021 15:00;4;6.308.594.856;20,20;0;439;;;;;;;;;;;;;
16;01/07/2021 16:00;4;6.069.315.643;20,60;0;469;;;;;;;;;;;;;
17;01/07/2021 17:00;4;6.298.261.795;20,60;0;530;;;;;;;;;;;;;
18;01/07/2021 18:00;4;6.408.310.757;18,40;0;602;;;;;;;;;;;;;
19;01/07/2021 19:00;4;4.618.581.634;14,40;0;622;;;;;;;;;;;;;
20;01/07/2021 20:00;4;2.636.028.218;13,80;0;561;;;;;;;;;;;;;
21;01/07/2021 21:00;4;2.325.091.863;11,80;0;0;;;;;;;;;;;;;
22;01/07/2021 22:00;4;2.282.938.852;10,80;0;0;;;;;;;;;;;;;
23;01/07/2021 23:00;4;202.866.756;8,90;0;0;;;;;;;;;;;;;
24;02/07/2021 0:00;5;1.762.871.172;8,40;0;0;;;;;;;;;;;;;
25;02/07/2021 1:00;5;1.667.791.438;7,40;0;0;;;;;;;;;;;;;
26;02/07/2021 2:00;5;1.652.230.582;6,80;0;0;;;;;;;;;;;;;
27;02/07/2021 3:00;5;1.647.753.177;6,00;0;0;;;;;;;;;;;;;
28;02/07/2021 4:00;5;1.690.402.091;5,40;0;0;;;;;;;;;;;;;
29;02/07/2021 5:00;5;1.635.219.078;5,00;0;0;;;;;;;;;;;;;
30;02/07/2021 6:00;5;1.734.531.665;4,80;0;0;;;;;;;;;;;;;
31;02/07/2021 7:00;5;2.357.924.109;4,20;0;0;;;;;;;;;;;;;
32;02/07/2021 8:00;5;2.718.116.379;4,60;0;0;;;;;;;;;;;;;
33;02/07/2021 9:00;5;3.448.218.946;4,80;0;0;;;;;;;;;;;;;
34;02/07/2021 10:00;5;4.813.696.716;10,30;0;238;;;;;;;;;;;;;
35;02/07/2021 11:00;5;4.967.647.634;15,00;0;336;;;;;;;;;;;;;
36;02/07/2021 12:00;5;5.032.679.203;17,00;0;422;;;;;;;;;;;;;
37;02/07/2021 13:00;5;5.079.484.065;19,00;0;477;;;;;;;;;;;;;
38;02/07/2021 14:00;5;5.143.166.628;19,20;0;509;;;;;;;;;;;;;
39;02/07/2021 15:00;5;5.212.060.943;19,90;0;520;;;;;;;;;;;;;
40;02/07/2021 16:00;5;5.089.989.486;19,30;0;542;;;;;;;;;;;;;
