ID,Fecha,Dia,Demanda,Temperatura,Feriado,Publico
0,2021/07/01 00:00,4,1721748533,8.70,0,0
1,2021/07/01 01:00,4,1731462994,8.40,0,0
2,2021/07/01 02:00,4,1676358588,8.20,0,0
3,2021/07/01 03:00,4,1653972981,7.70,0,0
4,2021/07/01 04:00,4,1653886127,7.20,0,0
5,2021/07/01 05:00,4,1697885847,6.70,0,0
6,2021/07/01 06:00,4,1685989459,6.20,0,0
7,2021/07/01 07:00,4,241460114,4.0,0,0
8,2021/07/01 08:00,4,267858109,2.80,0,0
9,2021/07/01 09:00,4,4222517509,2.60,0,0
10,2021/07/01 10:00,4,5659812813,6.80,0,245
11,2021/07/01 11:00,4,6174330997,10.20,0,326
12,2021/07/01 12:00,4,6464884644,14.0,0,388
13,2021/07/01 13:00,4,6457387428,18.60,0,418
14,2021/07/01 14:00,4,6268949528,20.0,0,428
15,2021/07/01 15:00,4,6308594856,20.20,0,439
16,2021/07/01 16:00,4,6069315643,20.60,0,469
17,2021/07/01 17:00,4,6298261795,20.60,0,530
18,2021/07/01 18:00,4,6408310757,18.40,0,602
19,2021/07/01 19:00,4,4618581634,14.40,0,622
20,2021/07/01 20:00,4,2636028218,13.80,0,561
21,2021/07/01 21:00,4,2325091863,11.80,0,0
22,2021/07/01 22:00,4,2282938852,10.80,0,0
23,2021/07/01 23:00,4,202866756,8.90,0,0
24,2021/07/02 00:00,5,1762871172,8.40,0,0
25,2021/07/02 01:00,5,1667791438,7.40,0,0
26,2021/07/02 02:00,5,1652230582,6.80,0,0
27,2021/07/02 03:00,5,1647753177,6.0,0,0
28,2021/07/02 04:00,5,1690402091,5.40,0,0
29,2021/07/02 05:00,5,1635219078,5.0,0,0
30,2021/07/02 06:00,5,1734531665,4.80,0,0
31,2021/07/02 07:00,5,2357924109,4.20,0,0
32,2021/07/02 08:00,5,2718116379,4.60,0,0
33,2021/07/02 09:00,5,3448218946,4.80,0,0
34,2021/07/02 10:00,5,4813696716,10.30,0,238
35,2021/07/02 11:00,5,4967647634,15.0,0,336
36,2021/07/02 12:00,5,5032679203,17.0,0,422
37,2021/07/02 13:00,5,5079484065,19.0,0,477
38,2021/07/02 14:00,5,5143166628,19.20,0,509
39,2021/07/02 15:00,5,5212060943,19.90,0,520
40,2021/07/02 16:00,5,5089989486,19.30,0,542
41,2021/07/02 17:00,5,5023317108,18.50,0,585
42,2021/07/02 18:00,5,5382587562,16.10,0,650
43,2021/07/02 19:00,5,4206514816,13.60,0,693
44,2021/07/02 20:00,5,2673743434,11.40,0,672
45,2021/07/02 21:00,5,237087523,9.90,0,0
46,2021/07/02 22:00,5,2225509071,7.90,0,0
47,2021/07/02 23:00,5,1966827962,6.50,0,0
48,2021/07/03 00:00,6,1773151178,5.80,0,0
49,2021/07/03 01:00,6,1607376337,5.0,0,0
50,2021/07/03 02:00,6,1505806189,4.40,0,0
51,2021/07/03 03:00,6,1650587559,3.80,0,0
52,2021/07/03 04:00,6,1586767786,3.60,0,0
53,2021/07/03 05:00,6,1608646753,3.60,0,0
54,2021/07/03 06:00,6,1602474585,4.10,0,0
55,2021/07/03 07:00,6,2214837904,3.0,0,0
56,2021/07/03 08:00,6,2588491061,2.90,0,0
57,2021/07/03 09:00,6,3425077276,3.40,0,0
58,2021/07/03 10:00,6,4982870474,7.90,0,254
59,2021/07/03 11:00,6,5370841312,10.20,0,376
60,2021/07/03 12:00,6,5258885794,14.20,0,487
61,2021/07/03 13:00,6,5442640696,15.40,0,576
62,2021/07/03 14:00,6,5398589859,17.80,0,642
63,2021/07/03 15:00,6,5448063488,19.50,0,698
64,2021/07/03 16:00,6,5388784342,19.0,0,775
65,2021/07/03 17:00,6,5472394562,18.0,0,886
66,2021/07/03 18:00,6,5635527248,16.50,0,997
67,2021/07/03 19:00,6,4675165195,14.40,0,1030
68,2021/07/03 20:00,6,2912977326,12.80,0,964
69,2021/07/03 21:00,6,231090955,11.60,0,0
70,2021/07/03 22:00,6,2247757173,11.40,0,0
71,2021/07/03 23:00,6,1944625793,11.20,0,0
72,2021/07/04 00:00,7,180041739,10.80,0,0
73,2021/07/04 01:00,7,1681658707,10.40,0,0
74,2021/07/04 02:00,7,1578818302,10.0,0,0
75,2021/07/04 03:00,7,1566702297,9.20,0,0
76,2021/07/04 04:00,7,1615574577,8.60,0,0
77,2021/07/04 05:00,7,1629107866,8.20,0,0
78,2021/07/04 06:00,7,1653228576,7.80,0,0
79,2021/07/04 07:00,7,1834262173,8.60,0,0
80,2021/07/04 08:00,7,2052920895,9.40,0,0
81,2021/07/04 09:00,7,3341827672,9.20,0,0
82,2021/07/04 10:00,7,5213315468,10.60,0,160
83,2021/07/04 11:00,7,5611120911,13.40,0,254
84,2021/07/04 12:00,7,5742846279,15.20,0,367
85,2021/07/04 13:00,7,571873457,16.40,0,462
86,2021/07/04 14:00,7,5511167889,20.20,0,547
87,2021/07/04 15:00,7,5629935932,21.0,0,622
88,2021/07/04 16:00,7,5748875599,21.0,0,707
89,2021/07/04 17:00,7,5768566437,21.0,0,820
90,2021/07/04 18:00,7,6126921482,19.60,0,924
91,2021/07/04 19:00,7,4733534577,16.50,0,943
92,2021/07/04 20:00,7,2656275482,14.90,0,830
93,2021/07/04 21:00,7,2234953794,13.70,0,0
